notatie,label,cas,csor_eea,echa_ec_kandidaten,echa_match,pubchem_ec_kandidaten,pubchem_match,resultaat
V_1354,Perfluorpentaansulfonzuur (PFPeS),2706-91-4,220-301-2,,False,220-301-2,True,bevestigd
V_401,pp'Dichloordifenyldichloorethaan,72-54-8,200-783-0,,False,200-783-0,True,bevestigd
V_768,Alachloor,15972-60-8,240-110-8,240-110-8,True,240-110-8,True,bevestigd
V_1389,Clotrimazol,23593-75-1,245-764-8,,False,245-764-8,True,bevestigd
V_1251,Oxytetracycline,79-57-2,218-161-2,,False,103-115-5,False,afwijkend
V_718,Chloorfenvinfos,470-90-6,207-432-0,207-432-0,True,207-432-0,True,bevestigd
V_1352,Perfluorhexadecaanzuur (PFHxDA),67905-19-5,267-638-1,,False,267-638-1,True,bevestigd
V_1273,Sulfaclozine,102-65-8,203-044-0,,False,203-044-0,True,bevestigd
V_414,Isoproturon,34123-59-6,251-835-4,251-835-4,True,251-835-4,True,bevestigd
V_608,Trifenyltinhydroxide,76-87-9,200-990-6,200-990-6,True,200-990-6,True,bevestigd
V_716,Chloorpyrifos-ethyl,2921-88-2,220-864-4,220-864-4,True,220-864-4,True,bevestigd
V_948,Penconazole,66246-88-6,266-275-6,266-275-6,True,266-275-6,True,bevestigd
V_194,Cybutrine,28159-98-0,248-872-3,,False,248-872-3,True,bevestigd
V_412,Desisopropylatrazine,1007-28-9,206-354-4,,False,,False,onbekend
V_1355,Perfluorheptaansulfonzuur (PFHpS),375-92-8,206-800-8,,False,206-800-8,True,bevestigd
V_1392,Imazalil,35554-44-0,252-615-0,252-615-0,True,252-615-0,True,bevestigd
V_1237,Metaflumizone,139968-49-3,604-167-6,604-167-6,True,604-167-6,True,bevestigd
V_879,"Alkanen, gechloreerde",85535-84-8,287-476-5,287-476-5,True,,False,bevestigd
V_398,op'Dichloordifenyltrichloorethaan,789-02-6,212-332-5,,False,212-332-5,True,bevestigd
V_490,4-n-Octylfenol,1806-26-4,217-302-5,,False,217-302-5,True,bevestigd
V_1242,Flumequine,42835-25-6,255-962-6,,False,255-962-6,True,bevestigd
V_1287,Penicilline V,87-08-1,201-722-0,,False,201-722-0,True,bevestigd
V_962,Perfluoroctaansulfonzuur (PFOS),1763-23-1,217-179-8,217-179-8,True,217-179-8,True,bevestigd
V_1387,Dimoxystrobine,149961-52-4,604-712-8,604-712-8,True,604-712-8,True,bevestigd
V_1284,Oxolinezuur,14698-29-4,238-750-8,,False,238-750-8,True,bevestigd
V_609,Trifluralin,1582-09-8,216-428-8,216-428-8,True,216-428-8,True,bevestigd
V_48,Stikstofdioxide,10102-44-0,233-272-6,233-272-6,True,233-272-6,True,bevestigd
V_493,4-tert-Octylfenol,140-66-9,205-426-2,205-426-2,True,205-426-2,True,bevestigd
V_1247,Sulfapyridine,144-83-2,205-642-7,,False,205-642-7,True,bevestigd
V_855,Nonylfenol,84852-15-3,284-325-5,284-325-5,True,,False,bevestigd
V_1275,Cloxacilline,61-72-3,200-514-7,,False,200-514-7,True,bevestigd
V_773,Pentachloorbenzeen,608-93-5,210-172-0,210-172-0,True,210-172-0,True,bevestigd
V_1260,Cefazoline,25953-19-9,247-362-8,,False,247-362-8,True,bevestigd
V_127,"Indeno(1,2,3-cd)pyreen",193-39-5,205-893-2,,False,205-893-2,True,bevestigd
V_2,alfa+beta+gamma+delta Hexachloorcyclohexaan,608-73-1,210-168-9,,False,,False,onbekend
V_1244,Sulfadiazine,68-35-9,200-685-8,,False,200-685-8,True,bevestigd
V_1243,Sulfamethazine,57-68-1,200-346-4,,False,200-346-4,True,bevestigd
V_413,Diuron,330-54-1,206-354-4,206-354-4,True,206-354-4,True,bevestigd
V_1249,Sulfamerazine,127-79-7,204-866-2,,False,204-866-2,True,bevestigd
V_1255,Sulfachloropyridazine,80-32-0,201-269-9,,False,201-269-9,True,bevestigd
